"","group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"2","HD",1,0.270466030029815,3.64265836055064,11.8323604817784,26.1113188711044,0.270466030029816,0.168684303682065,0.372247756377567,"Y28.2","Non Naive CD8 Specific"
"5","HD",1,0.273855993665032,3.14187688468853,12.0041639620165,24.3200950377134,0.273855993665032,0.181003678558753,0.366708308771311,"Y28.4","Non Naive CD8 Specific"
"8","HD",1,0.850796725192011,8.92862748025439,100.386605949932,135.386182535278,0.850796725192012,0.724499176890386,0.977094273493637,"Y29.2","Non Naive CD8 Specific"
"11","HD",1,0.866472584167707,7.67888671767426,95.255950919465,125.356633735474,0.866472584167704,0.748249879576332,0.984695288759075,"Y54.4","Non Naive CD8 Specific"
"14","Booster",1,0.803085615696595,8.7791708034588,84.9054774469167,119.319194624726,0.803085615696591,0.667758375516451,0.938412855876731,"B1","Non Naive CD8 Specific"
"17","Booster",1,0.754788114377485,8.26606869396251,69.1313733370461,101.533767204847,0.754788114377485,0.611484439759817,0.898091788995154,"B2","Non Naive CD8 Specific"
"20","Booster",1,0.563263864055574,7.7670523815879,41.7031194868283,72.1494053547249,0.563263864055574,0.412636614919391,0.713891113191757,"B3","Non Naive CD8 Specific"
"23","Booster",1,0.696180525496202,7.63015430014745,59.933311502854,89.8429667523988,0.696180525496202,0.557156377269257,0.835204673723146,"B4","Non Naive CD8 Specific"
"26","Carditis",1,0.928587450835521,7.59920732984433,117.986691537016,147.775036892111,0.928587450835522,0.824505181949794,1.03266971972125,"Y165.1","Non Naive CD8 Specific"
"29","Carditis",1,0.888513696028058,7.74329454702924,103.511081081566,133.864237949291,0.88851369602806,0.774899543955424,1.0021278481007,"Y167.1","Non Naive CD8 Specific"
"32","Carditis",1,0.886585153851499,9.20989087205849,109.395561455374,145.497670276932,0.8865851538515,0.761012601428691,1.01215770627431,"Y170.1","Non Naive CD8 Specific"
"35","Carditis",1,0.916552340494025,8.17786147970882,118.347424669042,150.404052610615,0.916552340494022,0.807226141934669,1.02587853905337,"Y172.1","Non Naive CD8 Specific"
"38","Recovered",1,0.914096592987069,7.75937503060717,116.769170492944,147.185361698002,0.914096592987069,0.808762782192434,1.0194304037817,"165.1R","Non Naive CD8 Specific"
"41","Recovered",1,0.809565922561194,8.87457049594603,84.8907679356781,119.67844503631,0.809565922561194,0.671896536749995,0.947235308372393,"170.1R","Non Naive CD8 Specific"
"44","Recovered",1,0.923234843964666,7.8702581110771,119.320703029898,150.171547923389,0.923234843964668,0.817545070434382,1.02892461749496,"172.1R","Non Naive CD8 Specific"
